name,mail_from,subject,message
anjali@gmail.com,venky@gmail.com,Database Migration,"Hi Anjali, database migration is scheduled for Sunday."
venky@gmail.com,anjali@gmail.com,Re: Database Migration,"Thanks Venky, I will backup data beforehand."
john@gmail.com,nidhi@gmail.com,Presentation Draft,"Hi John, I have prepared the draft slides for the client presentation."
nidhi@gmail.com,john@gmail.com,Re: Presentation Draft,"Thanks Nidhi, will review and provide feedback."
nidhi@gmail.com,anjali@gmail.com,Release Notes,"Hi Nidhi, attached are the release notes for version 2.1."
anjali@gmail.com,nidhi@gmail.com,Re: Release Notes,"Thanks Anjali, I will circulate to the team."
venky@gmail.com,john@gmail.com,System Upgrade,"Hi Venky, the system upgrade will happen on Saturday at 6 PM."
john@gmail.com,venky@gmail.com,Re: System Upgrade,"Thanks John, I will notify the users."
venky@gmail.com,anjali@gmail.com,Performance Report,"Hi Venky, please find attached the performance report of last month."
anjali@gmail.com,venky@gmail.com,Re: Performance Report,"Thanks Anjali, looks good."
anjali@gmail.com,nidhi@gmail.com,Documentation Update,"Hi Anjali, the documentation for the new module is ready for review."
nidhi@gmail.com,anjali@gmail.com,Re: Documentation Update,"Thanks Nidhi, I will review today."
anjali@gmail.com,john@gmail.com,Team Expansion,"Hi Anjali, we are adding two new members to the team next week."
john@gmail.com,anjali@gmail.com,Re: Team Expansion,"Great John, will welcome them and onboard accordingly."
nidhi@gmail.com,venky@gmail.com,Code Merge,"Hi Nidhi, the latest feature branch is ready to merge."
venky@gmail.com,nidhi@gmail.com,Re: Code Merge,"Thanks Venky, I will merge after review."
john@gmail.com,anjali@gmail.com,Training Session,"Hi John, I have scheduled a training session for the new tools."
anjali@gmail.com,john@gmail.com,Re: Training Session,"Thanks Anjali, I will attend."
john@gmail.com,nidhi@gmail.com,Contract Renewal,"Hi John, the client contract needs to be renewed next month."
nidhi@gmail.com,john@gmail.com,Re: Contract Renewal,"Thanks Nidhi, I will initiate the process."
venky@gmail.com,anjali@gmail.com,Design Feedback,"Hi Venky, please review the latest UI design and share your feedback."
anjali@gmail.com,venky@gmail.com,Re: Design Feedback,"Thanks Anjali, I will provide comments soon."
anjali@gmail.com,john@gmail.com,Server Logs,"Hi Anjali, please check the server logs for the last deployment."
john@gmail.com,anjali@gmail.com,Re: Server Logs,"Thanks John, I will review and report."
venky@gmail.com,nidhi@gmail.com,Testing Schedule,"Hi Venky, testing for the new module is planned for Thursday."
nidhi@gmail.com,venky@gmail.com,Re: Testing Schedule,"Thanks Nidhi, noted."
nidhi@gmail.com,anjali@gmail.com,Meeting Agenda,"Hi Nidhi, here is the agenda for tomorrow's meeting."
anjali@gmail.com,nidhi@gmail.com,Re: Meeting Agenda,"Thanks Anjali, will review."
venky@gmail.com,john@gmail.com,Deployment Plan,"Hi Venky, attached is the deployment plan for next week."
john@gmail.com,venky@gmail.com,Re: Deployment Plan,"Thanks John, will follow this plan."
john@gmail.com,anjali@gmail.com,Client Follow-up,"Hi John, following up with the client regarding last discussion."
anjali@gmail.com,john@gmail.com,Re: Client Follow-up,"Thanks Anjali, will get back to the client."
anjali@gmail.com,nidhi@gmail.com,Bug Fix Confirmation,"Hi Anjali, has the reported bug been fixed?"
